trajectory_id,initial_value_num,initial_value_den,initial_precision,layer,precision_M,refinement_ratio_r,exponent_p,operation_id,policy_id,seed,pre_operation_state,pre_collapse_state,root_index_k,lower_L,upper_U,gap_G,lower_offset_d,upper_offset_u,phase_num,phase_den,selected_endpoint,post_collapse_state,signed_coordinate_error,absolute_coordinate_error,signed_physical_error_num,signed_physical_error_den,exact_power_before_collapse,branch_count_before,branch_count_after,recoalescence_count,state_bit_length,rng_rejections,rng_bits_per_attempt
raw-2-2-2-ALWAYS_DOWN,2,1,1,0,1,2,2,IDENTITY,ALWAYS_DOWN,17,2,2,1,1,4,3,1,2,1,3,L,1,-1,1,-1,1,False,1,1,0,2,0,0
raw-2-2-2-NEAREST,2,1,1,3,8,2,2,IDENTITY,NEAREST,17,2,2,1,1,4,3,1,2,1,3,L,1,-1,1,-1,8,False,1,1,0,2,0,0
raw-2-2-2-ALTERNATING_DOWN_FIRST,2,1,1,7,128,1,2,IDENTITY,ALTERNATING_DOWN_FIRST,17,128,128,11,121,144,23,7,16,7,23,U,144,16,16,1,8,False,1,1,0,8,0,0
raw-2-2-2-a1/2,2,1,1,2,4,2,2,IDENTITY,PHASE_THRESHOLD_1_2,0,2,2,1,1,4,3,1,2,1,3,L,1,-1,1,-1,4,False,1,1,0,2,0,0
raw-2-2-2-PRNG_50_50-0,2,1,1,6,64,2,2,IDENTITY,PRNG_50_50,0,18,18,4,16,25,9,2,7,2,9,L,16,-2,2,-1,32,False,1,1,0,5,0,1
raw-2-2-2-STOCHASTIC_UNBIASED-1,2,1,1,1,2,2,2,IDENTITY,STOCHASTIC_UNBIASED,1,2,2,1,1,4,3,1,2,1,3,U,4,2,2,1,1,False,1,1,0,3,0,256
raw-2-2-2-STOCHASTIC_UNBIASED-2,2,1,1,4,16,2,2,IDENTITY,STOCHASTIC_UNBIASED,2,98,98,9,81,100,19,17,2,17,19,U,100,2,2,1,8,False,1,1,0,7,0,256
raw-3-2-3-ALWAYS_DOWN,3,1,1,0,1,3,2,IDENTITY,ALWAYS_DOWN,17,3,3,1,1,4,3,2,1,2,3,L,1,-2,2,-2,1,False,1,1,0,2,0,0
raw-3-2-3-NEAREST,3,1,1,3,27,3,2,IDENTITY,NEAREST,17,75,75,8,64,81,17,11,6,11,17,U,81,6,6,2,9,False,1,1,0,7,0,0
raw-3-2-3-ALTERNATING_DOWN_FIRST,3,1,1,7,2187,1,2,IDENTITY,ALTERNATING_DOWN_FIRST,17,2883,2883,53,2809,2916,107,74,33,74,107,U,2916,33,33,11,729,False,1,1,0,12,0,0
raw-3-2-3-a1/2,3,1,1,2,9,3,2,IDENTITY,PHASE_THRESHOLD_1_2,0,27,27,5,25,36,11,2,9,2,11,L,25,-2,2,-2,9,False,1,1,0,5,0,0
raw-3-2-3-PRNG_50_50-0,3,1,1,6,729,3,2,IDENTITY,PRNG_50_50,0,3267,3267,57,3249,3364,115,18,97,18,115,U,3364,97,97,97,729,False,1,1,0,12,0,1
raw-3-2-3-STOCHASTIC_UNBIASED-1,3,1,1,1,3,3,2,IDENTITY,STOCHASTIC_UNBIASED,1,3,3,1,1,4,3,2,1,2,3,U,4,1,1,1,3,False,1,1,0,3,0,256
raw-3-2-3-STOCHASTIC_UNBIASED-2,3,1,1,4,81,3,2,IDENTITY,STOCHASTIC_UNBIASED,2,243,243,15,225,256,31,18,13,18,31,U,256,13,13,13,81,False,1,1,0,9,0,256
raw-5-3-2-ALWAYS_DOWN,5,1,1,0,1,2,3,IDENTITY,ALWAYS_DOWN,17,5,5,1,1,8,7,4,3,4,7,L,1,-4,4,-4,1,False,1,1,0,3,0,0
raw-5-3-2-NEAREST,5,1,1,3,8,2,3,IDENTITY,NEAREST,17,16,16,2,8,27,19,8,11,8,19,L,8,-8,8,-1,1,False,1,1,0,5,0,0
raw-5-3-2-ALTERNATING_DOWN_FIRST,5,1,1,7,128,1,3,IDENTITY,ALTERNATING_DOWN_FIRST,17,250,250,6,216,343,127,34,93,34,127,U,343,93,93,93,128,False,1,1,0,9,0,0
raw-5-3-2-a1/2,5,1,1,2,4,2,3,IDENTITY,PHASE_THRESHOLD_1_2,0,16,16,2,8,27,19,8,11,8,19,L,8,-8,8,-2,1,False,1,1,0,5,0,0
raw-5-3-2-PRNG_50_50-0,5,1,1,5,32,2,3,IDENTITY,PRNG_50_50,0,54,54,3,27,64,37,27,10,27,37,L,27,-27,27,-27,32,False,1,1,0,6,0,1
raw-5-3-2-STOCHASTIC_UNBIASED-1,5,1,1,1,2,2,3,IDENTITY,STOCHASTIC_UNBIASED,1,16,16,2,8,27,19,8,11,8,19,U,27,11,11,11,2,False,1,1,0,5,0,256
raw-5-3-2-STOCHASTIC_UNBIASED-2,5,1,1,4,16,2,3,IDENTITY,STOCHASTIC_UNBIASED,2,54,54,3,27,64,37,27,10,27,37,U,64,10,10,5,8,False,1,1,0,7,0,256
raw-10-3-4-ALWAYS_DOWN,10,1,1,0,1,4,3,IDENTITY,ALWAYS_DOWN,17,10,10,2,8,27,19,2,17,2,19,L,8,-2,2,-2,1,False,1,1,0,4,0,0
