k,first_prime_gt3,last_prime,X_V,X_E,X_F,X_beta1_1skeleton,X_beta1,X_beta2,Y_V,Y_E,Y_components,Y_beta1,Y_girth,Z_V,Z_E,Z_F,Z_components,Z_beta1,Z_beta2,Q_V,Q_E,Q_F,Q_components,Q_beta1,Q_beta2
3,5,11,6,9,3,4,1,0,10,9,2,1,6,9,9,3,3,0,0,3,3,3,1,0,2
4,5,13,8,16,6,9,3,0,15,18,2,5,4,18,18,6,6,0,0,3,3,6,1,0,5
5,5,17,10,25,10,16,6,0,21,30,2,11,4,30,30,10,10,0,0,3,3,10,1,0,9
6,5,19,12,36,15,25,10,0,28,45,2,19,4,45,45,15,15,0,0,3,3,15,1,0,14
7,5,23,14,49,21,36,15,0,36,63,2,29,4,63,63,21,21,0,0,3,3,21,1,0,20
8,5,29,16,64,28,49,21,0,45,84,2,41,4,84,84,28,28,0,0,3,3,28,1,0,27
9,5,31,18,81,36,64,28,0,55,108,2,55,4,108,108,36,36,0,0,3,3,36,1,0,35
10,5,37,20,100,45,81,36,0,66,135,2,71,4,135,135,45,45,0,0,3,3,45,1,0,44
11,5,41,22,121,55,100,45,0,78,165,2,89,4,165,165,55,55,0,0,3,3,55,1,0,54
12,5,43,24,144,66,121,55,0,91,198,2,109,4,198,198,66,66,0,0,3,3,66,1,0,65
13,5,47,26,169,78,144,66,0,105,234,2,131,4,234,234,78,78,0,0,3,3,78,1,0,77
14,5,53,28,196,91,169,78,0,120,273,2,155,4,273,273,91,91,0,0,3,3,91,1,0,90
15,5,59,30,225,105,196,91,0,136,315,2,181,4,315,315,105,105,0,0,3,3,105,1,0,104
16,5,61,32,256,120,225,105,0,153,360,2,209,4,360,360,120,120,0,0,3,3,120,1,0,119
17,5,67,34,289,136,256,120,0,171,408,2,239,4,408,408,136,136,0,0,3,3,136,1,0,135
18,5,71,36,324,153,289,136,0,190,459,2,271,4,459,459,153,153,0,0,3,3,153,1,0,152
19,5,73,38,361,171,324,153,0,210,513,2,305,4,513,513,171,171,0,0,3,3,171,1,0,170
20,5,79,40,400,190,361,171,0,231,570,2,341,4,570,570,190,190,0,0,3,3,190,1,0,189
21,5,83,42,441,210,400,190,0,253,630,2,379,4,630,630,210,210,0,0,3,3,210,1,0,209
22,5,89,44,484,231,441,210,0,276,693,2,419,4,693,693,231,231,0,0,3,3,231,1,0,230
23,5,97,46,529,253,484,231,0,300,759,2,461,4,759,759,253,253,0,0,3,3,253,1,0,252
24,5,101,48,576,276,529,253,0,325,828,2,505,4,828,828,276,276,0,0,3,3,276,1,0,275
25,5,103,50,625,300,576,276,0,351,900,2,551,4,900,900,300,300,0,0,3,3,300,1,0,299
26,5,107,52,676,325,625,300,0,378,975,2,599,4,975,975,325,325,0,0,3,3,325,1,0,324
27,5,109,54,729,351,676,325,0,406,1053,2,649,4,1053,1053,351,351,0,0,3,3,351,1,0,350
28,5,113,56,784,378,729,351,0,435,1134,2,701,4,1134,1134,378,378,0,0,3,3,378,1,0,377
29,5,127,58,841,406,784,378,0,465,1218,2,755,4,1218,1218,406,406,0,0,3,3,406,1,0,405
30,5,131,60,900,435,841,406,0,496,1305,2,811,4,1305,1305,435,435,0,0,3,3,435,1,0,434
31,5,137,62,961,465,900,435,0,528,1395,2,869,4,1395,1395,465,465,0,0,3,3,465,1,0,464
32,5,139,64,1024,496,961,465,0,561,1488,2,929,4,1488,1488,496,496,0,0,3,3,496,1,0,495
33,5,149,66,1089,528,1024,496,0,595,1584,2,991,4,1584,1584,528,528,0,0,3,3,528,1,0,527
34,5,151,68,1156,561,1089,528,0,630,1683,2,1055,4,1683,1683,561,561,0,0,3,3,561,1,0,560
35,5,157,70,1225,595,1156,561,0,666,1785,2,1121,4,1785,1785,595,595,0,0,3,3,595,1,0,594
36,5,163,72,1296,630,1225,595,0,703,1890,2,1189,4,1890,1890,630,630,0,0,3,3,630,1,0,629
37,5,167,74,1369,666,1296,630,0,741,1998,2,1259,4,1998,1998,666,666,0,0,3,3,666,1,0,665
38,5,173,76,1444,703,1369,666,0,780,2109,2,1331,4,2109,2109,703,703,0,0,3,3,703,1,0,702
39,5,179,78,1521,741,1444,703,0,820,2223,2,1405,4,2223,2223,741,741,0,0,3,3,741,1,0,740
40,5,181,80,1600,780,1521,741,0,861,2340,2,1481,4,2340,2340,780,780,0,0,3,3,780,1,0,779
41,5,191,82,1681,820,1600,780,0,903,2460,2,1559,4,2460,2460,820,820,0,0,3,3,820,1,0,819
42,5,193,84,1764,861,1681,820,0,946,2583,2,1639,4,2583,2583,861,861,0,0,3,3,861,1,0,860
43,5,197,86,1849,903,1764,861,0,990,2709,2,1721,4,2709,2709,903,903,0,0,3,3,903,1,0,902
44,5,199,88,1936,946,1849,903,0,1035,2838,2,1805,4,2838,2838,946,946,0,0,3,3,946,1,0,945
45,5,211,90,2025,990,1936,946,0,1081,2970,2,1891,4,2970,2970,990,990,0,0,3,3,990,1,0,989
46,5,223,92,2116,1035,2025,990,0,1128,3105,2,1979,4,3105,3105,1035,1035,0,0,3,3,1035,1,0,1034
47,5,227,94,2209,1081,2116,1035,0,1176,3243,2,2069,4,3243,3243,1081,1081,0,0,3,3,1081,1,0,1080
48,5,229,96,2304,1128,2209,1081,0,1225,3384,2,2161,4,3384,3384,1128,1128,0,0,3,3,1128,1,0,1127
49,5,233,98,2401,1176,2304,1128,0,1275,3528,2,2255,4,3528,3528,1176,1176,0,0,3,3,1176,1,0,1175
50,5,239,100,2500,1225,2401,1176,0,1326,3675,2,2351,4,3675,3675,1225,1225,0,0,3,3,1225,1,0,1224
