k,q,chi,n2,n3,n4plus,defect_delta,b,all_unit_count
4,5,1,3,1,0,1,5,10
4,5,-1,3,1,0,1,5,10
5,5,1,4,2,0,2,8,8
5,5,-1,4,0,1,3,7,7
6,7,1,12,1,0,1,14,21
6,7,-1,12,1,0,1,14,21
6,11,1,12,1,0,1,14,69
6,11,-1,12,1,0,1,14,69
6,23,1,12,1,0,1,14,405
6,23,-1,12,1,0,1,14,405
7,7,1,15,0,1,3,18,18
7,7,-1,12,3,0,3,18,18
7,11,1,15,2,0,2,19,63
7,11,-1,15,2,0,2,19,63
7,13,1,18,1,0,1,20,98
7,23,1,15,2,0,2,19,387
7,23,-1,15,2,0,2,19,387
8,11,1,16,4,0,4,24,57
8,11,-1,16,4,0,4,24,57
8,13,1,22,2,0,2,26,91
8,13,-1,22,2,0,2,26,91
8,23,1,19,3,0,3,25,370
8,23,-1,19,3,0,3,25,370
8,31,1,25,1,0,1,27,740
8,31,-1,25,1,0,1,27,740
8,53,1,25,1,0,1,27,2412
8,53,-1,25,1,0,1,27,2412
9,11,1,18,4,1,7,29,51
9,11,-1,18,4,1,7,29,51
9,13,1,24,4,0,4,32,84
9,13,-1,27,3,0,3,33,85
9,23,1,24,4,0,4,32,354
9,23,-1,24,2,1,5,31,353
9,31,1,30,2,0,2,34,716
9,31,-1,30,2,0,2,34,716
9,53,1,30,2,0,2,34,2366
9,53,-1,30,2,0,2,34,2366
