collapse_dimension,new_prime_channel,primorial_modulus,connectivity_class,sharp_max_component
2,3,6,UNBOUNDED_1D,
3,5,30,FINITE_ISLANDS,9
4,7,210,FINITE_ISLANDS,9
5,11,2310,FINITE_ISLANDS,9
6,13,30030,FINITE_ISLANDS,9
7,17,510510,FINITE_ISLANDS,9
8,19,9699690,FINITE_ISLANDS,9
9,23,223092870,FINITE_ISLANDS,9
10,29,6469693230,FINITE_ISLANDS,9
11,31,200560490130,FINITE_ISLANDS,9
12,37,7420738134810,FINITE_ISLANDS,9
13,41,304250263527210,FINITE_ISLANDS,9
14,43,13082761331670030,FINITE_ISLANDS,9
15,47,614889782588491410,FINITE_ISLANDS,9
16,53,32589158477190044730,FINITE_ISLANDS,9
17,59,1922760350154212639070,FINITE_ISLANDS,9
18,61,117288381359406970983270,FINITE_ISLANDS,9
19,67,7858321551080267055879090,FINITE_ISLANDS,9
