u,v,u_plus_v,slot0_count,slot1_count,slot2_count,mean_rate,c3_cv
1,1,2,230,222,219,0.149111111111,0.020757657641
7,3,10,287,189,168,0.143111111111,0.241588160553
1,9,10,320,165,146,0.140222222222,0.370521488150
0,1,1,192,198,233,0.138444444444,0.087062931764
1,0,1,233,192,198,0.138444444444,0.087062931764
1,5,6,198,227,191,0.136888888889,0.075900452776
3,7,10,156,185,273,0.136444444444,0.243069650492
5,1,6,171,226,197,0.132000000000,0.113458521518
9,1,10,155,150,287,0.131555555556,0.321470055702
1,3,4,147,117,113,0.083777777778,0.120740654395
7,1,8,121,177,73,0.082444444444,0.343663125617
2,5,7,94,172,103,0.082000000000,0.283272380328
3,2,5,103,116,144,0.080666666667,0.141384324191
4,3,7,111,129,118,0.079555555556,0.062084108299
3,1,4,103,109,145,0.079333333333,0.155859134378
2,3,5,149,115,93,0.079333333333,0.193581541100
1,7,8,76,180,101,0.079333333333,0.372475298618
5,2,7,105,152,93,0.077777777778,0.218230359473
3,5,8,84,100,153,0.074888888889,0.262506475425
3,4,7,101,121,114,0.074666666667,0.073986921992
4,1,5,115,119,99,0.074000000000,0.077846735116
5,3,8,156,89,83,0.072888888889,0.302644255701
7,2,9,98,84,146,0.072888888889,0.242833021363
1,4,5,102,114,106,0.071555555556,0.046480215985
1,2,3,102,105,109,0.070222222222,0.027222548313
5,4,9,114,119,79,0.069333333333,0.171107023270
4,5,9,75,123,111,0.068666666667,0.198020175285
2,1,3,111,95,102,0.068444444444,0.063788580209
2,7,9,129,79,99,0.068222222222,0.200795244396
6,1,7,93,74,117,0.063111111111,0.185854129865
1,6,7,104,74,96,0.060888888889,0.138878084602
8,1,9,60,84,76,0.048888888889,0.136060268610
1,8,9,86,67,51,0.045333333333,0.210384938567
