u,v,complexity_u_plus_v,samples_per_slot,slot0_prime_count,slot1_prime_count,slot2_prime_count,mean_rate,c3_cv,full_c3_prime_count,gate_product
0,1,1,5000,549,557,632,0.115866666667,0.0645291616808,13,3
1,0,1,5000,632,549,557,0.115866666667,0.0645291616808,9,3
1,1,2,5000,633,628,666,0.128466666667,0.0262463282126,3,105
1,2,3,5000,295,289,316,0.06,0.0385861230093,6,1
2,1,3,5000,302,298,278,0.0585333333333,0.0421393955138,4,1
1,3,4,5000,422,337,311,0.0713333333333,0.170087596116,4,3
3,1,4,5000,295,310,417,0.0681333333333,0.16143471516,4,3
1,4,5,5000,370,283,406,0.0706,0.146083348834,1,3
2,3,5,5000,294,283,352,0.0619333333333,0.102775422271,2,3
3,2,5,5000,359,285,306,0.0633333333333,0.100624936195,1,3
4,1,5,5000,415,312,355,0.0721333333333,0.116823066407,4,3
1,5,6,5000,598,661,524,0.118866666667,0.0942065257753,16,1
5,1,6,5000,503,648,595,0.1164,0.0510294339704,15,1
1,6,7,5000,250,199,232,0.0454,0.0919710131652,1,15
2,5,7,5000,234,214,226,0.0449333333333,0.0363531996816,0,3
3,4,7,5000,227,233,216,0.0450666666667,0.0311350086924,2,3
4,3,7,5000,321,350,328,0.0666,0.0371046105963,2,3
5,2,7,5000,209,234,201,0.0429333333333,0.0676146587437,0,3
6,1,7,5000,209,222,218,0.0432666666667,0.0255381785652,2,15
1,7,8,5000,232,527,297,0.0704,0.194535295369,4,3
3,5,8,5000,261,277,452,0.066,0.193921182496,1,3
5,3,8,5000,450,296,237,0.0655333333333,0.203186478015,4,3
7,1,8,5000,303,491,239,0.0688666666667,0.164811510115,5,3
1,8,9,5000,241,271,207,0.0479333333333,0.0553645363873,0,7
2,7,9,5000,337,222,340,0.0599333333333,0.0896939937877,1,5
4,5,9,5000,204,177,194,0.0383333333333,0.0578492079394,0,1
5,4,9,5000,188,184,219,0.0394,0.0692546986025,0,1
7,2,9,5000,219,356,342,0.0611333333333,0.101339518203,0,5
8,1,9,5000,210,274,230,0.0476,0.0578703159408,0,7
1,9,10,5000,914,456,414,0.118933333333,0.279298939477,3,3
3,7,10,5000,487,521,798,0.1204,0.203842485497,8,3
7,3,10,5000,834,515,501,0.123333333333,0.222056860733,7,3
9,1,10,5000,415,456,898,0.117933333333,0.28643603139,7,3
1,10,11,5000,253,229,205,0.0458,0.0428333773338,1,3
2,9,11,5000,214,196,252,0.0441333333333,0.0529542813056,2,21
3,8,11,5000,281,229,252,0.0508,0.0419273586937,0,15
4,7,11,5000,289,231,245,0.051,0.0501817879344,0,3
5,6,11,5000,239,217,259,0.0476666666667,0.0360340695877,0,3
6,5,11,5000,237,206,253,0.0464,0.0419673249321,0,3
7,4,11,5000,245,231,293,0.0512666666667,0.0524537966192,0,3
8,3,11,5000,260,235,275,0.0513333333333,0.0319330099743,0,15
9,2,11,5000,253,203,218,0.0449333333333,0.0461324650258,1,21
10,1,11,5000,218,248,250,0.0477333333333,0.0297253668061,0,3
1,11,12,5000,318,250,245,0.0542,0.103093926403,0,5
5,7,12,5000,231,204,246,0.0454,0.0371011144167,0,1
7,5,12,5000,237,224,227,0.0458666666667,0.024011239384,0,1
11,1,12,5000,256,308,244,0.0538666666667,0.0570418814066,0,5
1,12,13,5000,270,175,164,0.0406,0.118721976558,0,3
2,11,13,5000,189,176,215,0.0386666666667,0.0407206799697,0,3
3,10,13,5000,167,195,183,0.0363333333333,0.0315278430743,0,3
4,9,13,5000,205,171,184,0.0373333333333,0.0372230860225,0,3
5,8,13,5000,189,177,212,0.0385333333333,0.0366632551504,0,3
6,7,13,5000,205,194,180,0.0386,0.0265643443097,0,3
7,6,13,5000,189,185,202,0.0384,0.0187641470584,0,3
8,5,13,5000,186,191,207,0.0389333333333,0.0226011289738,0,3
9,4,13,5000,178,176,201,0.037,0.0302827305296,0,3
10,3,13,5000,193,185,204,0.0388,0.0202040201079,0,3
11,2,13,5000,205,173,190,0.0378666666667,0.034550899443,0,3
12,1,13,5000,166,171,227,0.0376,0.0736919100334,0,3
1,13,14,5000,455,250,186,0.0594,0.228594757965,0,3
3,11,14,5000,228,223,204,0.0436666666667,0.0240113659213,0,3
5,9,14,5000,203,212,229,0.0429333333333,0.0248038564455,0,3
9,5,14,5000,226,203,204,0.0422,0.0247628035993,0,3
11,3,14,5000,209,206,231,0.0430666666667,0.0234882886167,0,3
13,1,14,5000,193,244,440,0.0584666666667,0.221030666061,0,3
1,14,15,5000,280,205,253,0.0492,0.0617508941736,0,1
2,13,15,5000,192,183,191,0.0377333333333,0.0216816691206,0,1
4,11,15,5000,169,178,192,0.0359333333333,0.0262287498354,0,1
7,8,15,5000,242,250,232,0.0482666666667,0.0304541278063,0,1
8,7,15,5000,246,247,243,0.0490666666667,0.00692801564347,6,1
11,4,15,5000,194,181,173,0.0365333333333,0.023519102405,0,1
13,2,15,5000,183,183,197,0.0375333333333,0.0175985565915,0,1
14,1,15,5000,236,204,296,0.0490666666667,0.0810864584884,0,1
1,15,16,5000,165,335,202,0.0468,0.160019499844,0,3
3,13,16,5000,213,175,171,0.0372666666667,0.0482050806927,0,3
5,11,16,5000,164,171,185,0.0346666666667,0.025155128322,0,3
7,9,16,5000,186,185,185,0.0370666666667,0.002544455883,0,3
9,7,16,5000,173,189,188,0.0366666666667,0.0397334854431,0,3
11,5,16,5000,184,179,167,0.0353333333333,0.0391543136623,0,3
13,3,16,5000,176,205,168,0.0366,0.0449151996704,0,3
15,1,16,5000,200,322,178,0.0466666666667,0.134255347173,0,3
1,16,17,5000,202,205,216,0.0415333333333,0.0277282920327,0,3
2,15,17,5000,181,198,193,0.0381333333333,0.0186753632667,0,3
3,14,17,5000,182,184,180,0.0364,0.00896600233224,0,3
4,13,17,5000,195,171,188,0.0369333333333,0.0266569631184,0,3
5,12,17,5000,194,196,191,0.0387333333333,0.0105974486613,0,3
6,11,17,5000,186,182,199,0.0378,0.0191691318476,0,3
7,10,17,5000,190,185,180,0.037,0.022075120065,0,3
8,9,17,5000,189,193,192,0.0382666666667,0.00868337947493,0,3
9,8,17,5000,199,187,185,0.0380666666667,0.0165324277023,0,3
10,7,17,5000,185,188,182,0.037,0.0132521715793,0,3
11,6,17,5000,198,188,184,0.038,0.0151555786032,0,3
12,5,17,5000,190,183,189,0.0374666666667,0.0115522395278,0,3
13,4,17,5000,187,194,181,0.0374666666667,0.0173527969071,0,3
14,3,17,5000,180,194,176,0.0366666666667,0.0208184182966,0,3
15,2,17,5000,193,191,188,0.0381333333333,0.0107634495267,0,3
16,1,17,5000,198,204,195,0.0398,0.00927671770086,0,3
1,17,18,5000,210,309,184,0.0468666666667,0.115329695597,0,3
5,13,18,5000,488,518,440,0.0964,0.0666488730465,8,1
7,11,18,5000,154,181,172,0.0338,0.0328469276855,0,3
11,7,18,5000,181,167,160,0.0338666666667,0.0254285339055,0,3
13,5,18,5000,441,497,463,0.0934,0.0493280586529,7,1
17,1,18,5000,190,298,195,0.0455333333333,0.107059016161,0,3
1,18,19,5000,177,176,191,0.0362666666667,0.0275746069895,0,3
2,17,19,5000,181,171,176,0.0352,0.0231952594312,0,3
3,16,19,5000,182,187,187,0.0370666666667,0.0127176664847,0,3
4,15,19,5000,170,172,177,0.0346,0.0134179121598,0,3
5,14,19,5000,189,174,181,0.0362666666667,0.0253601175306,0,3
6,13,19,5000,177,179,185,0.0360666666667,0.018510726192,0,3
7,12,19,5000,174,183,177,0.0356,0.0210016801344,0,3
8,11,19,5000,182,180,183,0.0363333333333,0.00641413805148,0,3
9,10,19,5000,178,179,180,0.0358,0.00456191126005,0,3
10,9,19,5000,177,182,181,0.036,0.0103934922443,0,3
11,8,19,5000,185,179,178,0.0361333333333,0.0169257622601,0,3
12,7,19,5000,180,190,177,0.0364666666667,0.0280272254969,0,3
13,6,19,5000,184,175,190,0.0366,0.033476986706,0,3
14,5,19,5000,168,187,177,0.0354666666667,0.0436816917027,0,3
15,4,19,5000,180,178,175,0.0355333333333,0.0114483876038,0,3
16,3,19,5000,180,182,176,0.0358666666667,0.0136399878982,0,3
17,2,19,5000,185,166,188,0.0359333333333,0.0443108065163,0,3
18,1,19,5000,177,185,204,0.0377333333333,0.0591164991904,0,3
1,19,20,5000,525,260,193,0.0652,0.221630034903,0,3
3,17,20,5000,193,182,194,0.0379333333333,0.0260074708368,0,3
7,13,20,5000,183,182,189,0.0369333333333,0.0170704012564,0,3
9,11,20,5000,184,191,187,0.0374666666667,0.0152548288171,0,3
11,9,20,5000,190,181,185,0.0370666666667,0.0198624697086,0,3
13,7,20,5000,174,189,184,0.0364666666667,0.0270271930714,0,3
17,3,20,5000,190,188,185,0.0375333333333,0.0108694677677,0,3
19,1,20,5000,199,253,488,0.0626666666667,0.202950153566,0,3
1,20,21,5000,204,270,186,0.044,0.0809182133625,0,3
2,19,21,5000,183,196,188,0.0378,0.0189561232829,0,3
4,17,21,5000,181,190,183,0.0369333333333,0.0210169799122,0,3
5,16,21,5000,270,270,290,0.0553333333333,0.0340774352379,2,1
8,13,21,5000,171,196,184,0.0367333333333,0.0418905231574,0,3
10,11,21,5000,184,182,181,0.0364666666667,0.00618737508539,0,3
11,10,21,5000,181,181,190,0.0368,0.021083096755,0,3
13,8,21,5000,185,176,188,0.0366,0.0197004900899,0,3
16,5,21,5000,291,280,264,0.0556666666667,0.0358094507742,1,1
17,4,21,5000,177,191,185,0.0368666666667,0.0312533056788,0,3
