collapse_dimension,new_prime_channel,local_survivors_chi_plus,local_survivors_chi_minus,cumulative_states_chi_plus,cumulative_states_chi_minus,parameter_modulus_Md,density_chi_plus,density_chi_minus,plus_minus_ratio
3,5,1,1,1,1,5,0.04,0.04,1
4,7,13,13,13,13,35,0.010612244898,0.010612244898,1
5,11,51,51,663,663,385,0.004472929668,0.004472929668,1
6,13,84,85,55692,56355,5005,0.002223231314,0.002249698354,0.988235294118
7,17,172,172,9579024,9693060,85085,0.00132316881,0.001338920819,0.988235294118
8,19,226,226,2164859424,2190631560,1616615,0.000828354989,0.000838216358,0.988235294118
9,23,354,353,766360236096,773292940680,37182145,0.000554324511,0.000559339082,0.991034827529
10,29,616,616,472077905435136,476348451458880,1078282205,0.000406021282,0.000409694262,0.991034827529
11,31,716,716,338007780291557376,341065491244558080,33426748355,0.000302509093,0.000305245673,0.991034827529
12,37,1072,1072,362344340472549507072,365622206614166261760,1236789689135,0.000236880751,0.000239023639,0.991034827529
13,41,1348,1348,488440170956996735533056,492858734515896120852480,50708377254535,0.000189955533,0.000191673923,0.991034827529
14,43,1498,1498,731683376093581109828517888,738302384304812389037015040,2180460221945005,0.00015389583,0.000155288014,0.991034827529
15,47,1822,1822,1333127111242504782107559591936,1345186944203368172825441402880,102481630431415235,0.000126934451,0.000128082735,0.991034827529
16,53,2366,2366,3154178745199766314466485994520576,3182712309985169096904994359214080,5431526412865007455,0.000106915952,0.000107883143,0.991034827529
17,59,2986,2986,9418377733166502214996927179638439936,9503578957615714923358313156613242880,320460058359035439845,0.000091712449,0.000092542105,0.991034827529
18,61,3208,3208,30214155767998139105710142392280115314688,30487481296031213474133468606415283159040,19548063559901161830545,0.000079068405,0.00007978368,0.991034827529
19,67,3922,3922,118499918922088701572595178462522612264206336,119571901643034419245551463874360740549754880,1309720258513377842646515,0.000069081373,0.000069706302,0.991034827529
