collapse_dimension,new_prime_channel,event,local_states_chi_plus,local_states_chi_minus,cumulative_basin_chi_plus,cumulative_basin_chi_minus
2,3,UNBOUNDED_1D_FILAMENT_BASE,,,,
3,5,UNIQUE_GLOBAL_CONNECTIVITY_BREAK_SHARP9_CAP,1,1,1,1
4,7,LAST_SLOPE_ALIAS,13,13,13,13
5,11,TRIPLE_CONCURRENCE_EXCEPTION,51,51,663,663
6,13,TRIPLE_CONCURRENCE_CHIRAL_DETECTOR,84,85,55692,56355
7,17,GENERIC,172,172,9579024,9693060
8,19,GENERIC,226,226,2164859424,2190631560
9,23,TRIPLE_CONCURRENCE_CHIRAL_DETECTOR,354,353,766360236096,773292940680
10,29,GENERIC,616,616,472077905435136,476348451458880
11,31,TRIPLE_CONCURRENCE_EXCEPTION,716,716,338007780291557376,341065491244558080
12,37,GENERIC,1072,1072,362344340472549507072,365622206614166261760
13,41,GENERIC,1348,1348,488440170956996735533056,492858734515896120852480
14,43,GENERIC,1498,1498,731683376093581109828517888,738302384304812389037015040
15,47,GENERIC,1822,1822,1333127111242504782107559591936,1345186944203368172825441402880
16,53,FINAL_TRIPLE_CONCURRENCE_EXCEPTION,2366,2366,3154178745199766314466485994520576,3182712309985169096904994359214080
17,59,GENERIC_STABLE_TAIL,2986,2986,9418377733166502214996927179638439936,9503578957615714923358313156613242880
18,61,GENERIC_STABLE_TAIL,3208,3208,30214155767998139105710142392280115314688,30487481296031213474133468606415283159040
19,67,GENERIC_STABLE_TAIL,3922,3922,118499918922088701572595178462522612264206336,119571901643034419245551463874360740549754880
