central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
10690,-2474,1,171283421,171315481,171347543,171379609,171411677,171443749,171475823,171507901,171539981,256560
19700,-9494,1,581889131,581948221,582007313,582066409,582125507,582184609,582243713,582302821,582361931,472800
32850,-2774,1,1618286801,1618385341,1618483883,1618582429,1618680977,1618779529,1618878083,1618976641,1619075201,788400
69670,-5714,1,7280021621,7280230621,7280439623,7280648629,7280857637,7281066649,7281275663,7281484681,7281693701,1672080
74210,18646,1,8259814301,8260036921,8260259543,8260482169,8260704797,8260927429,8261150063,8261372701,8261595341,1781040
76910,-21584,1,8871777671,8872008391,8872239113,8872469839,8872700567,8872931299,8873162033,8873392771,8873623511,1845840
96900,-36794,1,14083215431,14083506121,14083796813,14084087509,14084378207,14084668909,14084959613,14085250321,14085541031,2325600
107815,7624,-1,17434825207,17435148641,17435472079,17435795519,17436118963,17436442409,17436765859,17437089311,17437412767,2587560
109165,11134,-1,17874197017,17874524501,17874851989,17875179479,17875506973,17875834469,17876161969,17876489471,17876816977,2619960
147300,34066,1,32544201491,32544643381,32545085273,32545527169,32545969067,32546410969,32546852873,32547294781,32547736691,3535200
149890,2566,1,33698722061,33699171721,33699621383,33700071049,33700520717,33700970389,33701420063,33701869741,33702319421,3597360
162025,-12266,-1,39376194397,39376680461,39377166529,39377652599,39378138673,39378624749,39379110829,39379596911,39380082997,3888600
168675,55564,-1,42674914927,42675420941,42675926959,42676432979,42676939003,42677445029,42677951059,42678457091,42678963127,4048200
171965,-46496,-1,44355831787,44356347671,44356863559,44357379449,44357895343,44358411239,44358927139,44359443041,44359958947,4127160
176935,-61826,-1,46956806317,46957337111,46957867909,46958398709,46958929513,46959460319,46959991129,46960521941,46961052757,4246440
262915,-83456,-1,103683207427,103683996161,103684784899,103685573639,103686362383,103687151129,103687939879,103688728631,103689517387,6309960
265560,-69464,1,105779914241,105780710911,105781507583,105782304259,105783100937,105783897619,105784694303,105785490991,105786287681,6373440
279480,125176,1,117160377041,117161215471,117162053903,117162892339,117163730777,117164569219,117165407663,117166246111,117167084561,6707520
312045,-44456,-1,146054334067,146055270191,146056206319,146057142449,146058078583,146059014719,146059950859,146060887001,146061823147,7489080
318765,69064,-1,152412931747,152413888031,152414844319,152415800609,152416756903,152417713199,152418669499,152419625801,152420582107,7650360
377270,182656,1,213471427781,213472559581,213473691383,213474823189,213475954997,213477086809,213478218623,213479350441,213480482261,9054480
390900,-123524,1,229192571951,229193744641,229194917333,229196090029,229197262727,229198435429,229199608133,229200780841,229201953551,9381600
406470,-105674,1,247814396401,247815615721,247816835043,247818054369,247819273697,247820493029,247821712363,247822931701,247824151041,9755280
406615,-136016,-1,247991193397,247992413231,247993633069,247994852909,247996072753,247997292599,247998512449,247999732301,248000952157,9758760
407435,199084,-1,248992046917,248993269211,248994491509,248995713809,248996936113,248998158419,248999380729,249000603041,249001825357,9778440
409290,-186944,1,251266040441,251267268311,251268496183,251269724059,251270951937,251272179819,251273407703,251274635591,251275863481,9822960
415605,-137216,-1,259076007997,259077254811,259078501629,259079748449,259080995273,259082242099,259083488929,259084735761,259085982597,9974520
424600,61996,1,270406678001,270407951791,270409225583,270410499379,270411773177,270413046979,270414320783,270415594591,270416868401,10190400
430990,25096,1,278608465151,278609758111,278611051073,278612344039,278613637007,278614929979,278616222953,278617515931,278618808911,10343760
439725,164554,-1,290029777927,290031097101,290032416279,290033735459,290035054643,290036373829,290037693019,290039012211,290040331407,10553400
447195,-36176,-1,299963815057,299965156631,299966498209,299967839789,299969181373,299970522959,299971864549,299973206141,299974547737,10732680
449055,-210716,-1,302460114397,302461461551,302462808709,302464155869,302465503033,302466850199,302468197369,302469544541,302470891717,10777320
456990,-129494,1,313222620201,313223991141,313225362083,313226733029,313228103977,313229474929,313230845883,313232216841,313233587801,10967760
461240,-99344,1,319075098601,319076482311,319077866023,319079249739,319080633457,319082017179,319083400903,319084784631,319086168361,11069760
470650,-106484,1,332227239701,332228651621,332230063543,332231475469,332232887397,332234299329,332235711263,332237123201,332238535141,11295600
483590,-112814,1,350749515601,350750966361,350752417123,350753867889,350755318657,350756769429,350758220203,350759670981,350761121761,11606160
486855,189004,-1,355503087337,355504547901,355506008469,355507469039,355508929613,355510390189,355511850769,355513311351,355514771937,11684520
487895,207784,-1,357022659637,357024123321,357025587009,357027050699,357028514393,357029978089,357031441789,357032905491,357034369197,11709480
504250,-107864,1,381375825001,381377337741,381378850483,381380363229,381381875977,381383388729,381384901483,381386414241,381387927001,12102000
510120,199036,1,390308298001,390309828351,390311358703,390312889059,390314419417,390315949779,390317480143,390319010511,390320540881,12242880
528165,206974,-1,418454993077,418456577571,418458162069,418459746569,418461331073,418462915579,418464500089,418466084601,418467669117,12675960
539145,179284,-1,436037525227,436039142661,436040760099,436042377539,436043994983,436045612429,436047229879,436048847331,436050464787,12939480
541620,-47624,1,440048726101,440050350951,440051975803,440053600659,440055225517,440056850379,440058475243,440060100111,440061724981,12998880
554850,-247034,1,461786347501,461788012041,461789676583,461791341129,461793005677,461794670229,461796334783,461797999341,461799663901,13316400
572835,-180806,-1,492213349117,492215067631,492216786149,492218504669,492220223193,492221941719,492223660249,492225378781,492227097317,13748040
598960,295126,1,538151423301,538153220171,538155017043,538156813919,538158610797,538160407679,538162204563,538164001451,538165798341,14375040
600590,244156,1,541084226151,541086027911,541087829673,541089631439,541091433207,541093234979,541095036753,541096838531,541098640311,14414160
602490,-133004,1,544512709201,544514516671,544516324143,544518131619,544519939097,544521746579,544523554063,544525361551,544527169041,14459760
605355,1834,-1,549704331037,549706147091,549707963149,549709779209,549711595273,549713411339,549715227409,549717043481,549718859557,14528520
608475,-53186,-1,555384855547,555386680971,555388506399,555390331829,555392157263,555393982699,555395808139,555397633581,555399459027,14603400
612700,-285554,1,563103245001,563105083111,563106921223,563108759339,563110597457,563112435579,563114273703,563116111831,563117949961,14704800
616880,245176,1,570813724201,570815574831,570817425463,570819276099,570821126737,570822977379,570824828023,570826678671,570828529321,14805120
622710,-215474,1,581653727001,581655595121,581657463243,581659331369,581661199497,581663067629,581664935763,581666803901,581668672041,14945040
625095,104344,-1,586118890177,586120765461,586122640749,586124516039,586126391333,586128266629,586130141929,586132017231,586133892537,15002280
627145,-116396,-1,589971135157,589973016591,589974898029,589976779469,589978660913,589980542359,589982423809,589984305261,589986186717,15051480
628205,266104,-1,591968032357,591969916971,591971801589,591973686209,591975570833,591977455459,591979340089,591981224721,591983109357,15076920
634810,-259994,1,604455908601,604457813021,604459717443,604461621869,604463526297,604465430729,604467335163,604469239601,604471144041,15235440
639115,267184,-1,612680856637,612682773971,612684691309,612686608649,612688525993,612690443339,612692360689,612694278041,612696195397,15338760
642715,-111236,-1,619604491477,619606419611,619608347749,619610275889,619612204033,619614132179,619616060329,619617988481,619619916637,15425160
647685,54754,-1,629231663547,629233606601,629235549659,629237492719,629239435783,629241378849,629243321919,629245264991,629247208067,15544440
649485,-29756,-1,632734631197,632736579651,632738528109,632740476569,632742425033,632744373499,632746321969,632748270441,632750218917,15587640
652100,-174044,1,637839848001,637841804291,637843760583,637845716879,637847673177,637849629479,637851585783,637853542091,637855498401,15650400
