collapse_dimension,new_prime_channel,primorial_modulus_Pd,new_channel_state_factor,incidence_code_state_count,ambient_unit_cube_fraction
2,3,6,6,6,0.75
3,5,30,13,78,0.15234375
4,7,210,31,2418,0.0218630789
5,11,2310,91,220038,0.0019897461
6,13,30030,133,29265054,0.0001531034
7,17,510510,241,7052878014,0.0000090100
8,19,9699690,307,2165233550298,0.0000004743
9,23,223092870,463,1002503133787974,0.00000002062
10,29,6469693230,757,758894872277496318,0.0000000007112
11,31,200560490130,871,660997433753699292978,0.00000000002294
12,37,7420738134810,1261,833517763963414808445258,0.0000000000006201
13,41,304250263527210,1561,1301121229546890515983047738,0.00000000000001512
14,43,13082761331670030,1723,2241831878509292359038791252574,0.0000000000000003517
15,47,614889782588491410,2071,4642833820392744475569336684080754,0.000000000000000007484
16,53,32589158477190044730,2653,12317438125501951093685450222866240362,0.0000000000000000001412
17,59,1922760350154212639070,3307,40733767881034952266817783887018656877134,0.000000000000000000002393
18,61,117288381359406970983270,3541,144238272066744765976801772743933064001931494,0.00000000000000000000003923
19,67,7858321551080267055879090,4291,618926425438401790806456406844216777632288040754,0.0000000000000000000000005856
