B,d,new_prime,tau_B_q,primorial_Pd,Theta_B_Pd,density_num,density_den,density_float
3,1,2,1,2,1,1,2,0.5
3,2,3,1,6,1,1,6,0.1666666666666667
3,3,5,0,30,0,0,1,0
3,4,7,1,210,0,0,1,0
3,5,11,2,2310,0,0,1,0
3,6,13,3,30030,0,0,1,0
3,7,17,3,510510,0,0,1,0
3,8,19,4,9699690,0,0,1,0
3,9,23,5,223092870,0,0,1,0
3,10,29,6,6469693230,0,0,1,0
3,11,31,7,200560490130,0,0,1,0
3,12,37,9,7420738134810,0,0,1,0
3,13,41,9,304250263527210,0,0,1,0
3,14,43,10,13082761331670030,0,0,1,0
3,15,47,11,614889782588491410,0,0,1,0
3,16,53,12,32589158477190044730,0,0,1,0
3,17,59,14,1922760350154212639070,0,0,1,0
3,18,61,15,117288381359406970983270,0,0,1,0
3,19,67,16,7858321551080267055879090,0,0,1,0
15,1,2,1,2,1,1,2,0.5
15,2,3,1,6,1,1,6,0.1666666666666667
15,3,5,3,30,3,1,10,0.1
15,4,7,1,210,3,1,70,0.01428571428571429
15,5,11,2,2310,6,1,385,0.002597402597402597
15,6,13,2,30030,12,2,5005,0.0003996003996003996
15,7,17,4,510510,48,8,85085,9.402362343538814e-05
15,8,19,4,9699690,192,32,1616615,1.979444703902908e-05
15,9,23,5,223092870,960,32,7436429,4.303140660658496e-06
15,10,29,6,6469693230,5760,192,215656441,8.903049642741716e-07
15,11,31,7,200560490130,40320,192,955049953,2.010366048361033e-07
15,12,37,8,7420738134810,322560,1536,35336848261,4.346737401861693e-08
15,13,41,9,304250263527210,2903040,13824,1448810778701,9.541618687013471e-09
15,14,43,10,13082761331670030,29030400,138240,62298863484143,2.218981090003133e-09
15,15,47,11,614889782588491410,319334400,138240,266186053068611,5.193359997879672e-10
15,16,53,13,32589158477190044730,4151347200,138240,1085220062510491,1.273843018347844e-10
15,17,59,14,1922760350154212639070,58118860800,1935360,64027983688118969,3.022678348622003e-11
15,18,61,15,117288381359406970983270,871782912000,29030400,3905707004975257109,7.432815611365582e-12
15,19,67,16,7858321551080267055879090,13948526592000,464486400,261682369333342226303,1.775000743012676e-12
39,1,2,1,2,1,1,2,0.5
39,2,3,1,6,1,1,6,0.1666666666666667
39,3,5,1,30,1,1,30,0.03333333333333333
39,4,7,1,210,1,1,210,0.004761904761904762
39,5,11,2,2310,2,1,1155,0.0008658008658008658
39,6,13,11,30030,22,11,15015,0.0007326007326007326
39,7,17,4,510510,88,44,255255,0.0001723766428679164
39,8,19,4,9699690,352,176,4849845,3.629250695368665e-05
39,9,23,5,223092870,1760,176,22309287,7.889091211207243e-06
39,10,29,9,6469693230,15840,528,215656441,2.448338651753972e-06
39,11,31,7,200560490130,110880,528,955049953,5.528506133293e-07
39,12,37,9,7420738134810,997920,4752,35336848261,1.344049035294829e-07
39,13,41,9,304250263527210,8981280,42768,1448810778701,2.95190660493507e-08
39,14,43,10,13082761331670030,89812800,427680,62298863484143,6.865848981128e-09
39,15,47,11,614889782588491410,987940800,427680,266186053068611,1.606698794273317e-09
39,16,53,12,32589158477190044730,11855289600,395520,1085220062510491,3.638738114482517e-10
39,17,59,14,1922760350154212639070,165974054400,5537280,64027983688118969,8.631536598979695e-11
39,18,61,15,117288381359406970983270,2489610816000,83059200,3905707004975257109,2.122666376798224e-11
39,19,67,16,7858321551080267055879090,39833773056000,1328947200,261682369333342226303,5.069907345062413e-12
51,1,2,1,2,1,1,2,0.5
51,2,3,1,6,1,1,6,0.1666666666666667
51,3,5,1,30,1,1,30,0.03333333333333333
51,4,7,1,210,1,1,210,0.004761904761904762
51,5,11,2,2310,2,1,1155,0.0008658008658008658
51,6,13,3,30030,6,1,5005,0.0001998001998001998
51,7,17,15,510510,90,3,17017,0.0001762942939413533
51,8,19,4,9699690,360,12,323323,3.711575995241143e-05
51,9,23,5,223092870,1800,20,24788097,8.06838873873468e-06
51,10,29,7,6469693230,12600,420,215656441,1.94754210934975e-06
51,11,31,7,200560490130,88200,420,955049953,4.397222401185132e-07
51,12,37,9,7420738134810,793800,3780,35336848261,1.069714364127664e-07
51,13,41,9,304250263527210,7144200,34020,1448810778701,2.34846853993151e-08
51,14,43,10,13082761331670030,71442000,340200,62298863484143,5.460404022784815e-09
51,15,47,11,614889782588491410,785862000,340200,266186053068611,1.278096319838189e-09
51,16,53,12,32589158477190044730,9430344000,314160,1085220062510491,2.893696705565781e-10
51,17,59,14,1922760350154212639070,132024816000,4398240,64027983688118969,6.866382764574158e-11
51,18,61,15,117288381359406970983270,1980372240000,65973600,3905707004975257109,1.688476089649645e-11
51,19,67,16,7858321551080267055879090,31685955840000,1056192000,261682369333342226303,4.032318566226386e-12
