row_type,sigma,r_mod_12,t_mod_6,parity,c_mod_6,eligible_slots_1_based,prime_candidate_residues_mod_6,a_mod_30,c_mod_30,reduced_channel,residues_mod_15,predecessor_mod_15,successor_mod_15
local_mod_6_eligibility,1,0,4,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,1,5,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
local_mod_6_eligibility,1,2,5,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,3,0,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
local_mod_6_eligibility,1,4,0,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,5,1,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
local_mod_6_eligibility,1,6,1,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,7,2,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
local_mod_6_eligibility,1,8,2,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,9,3,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
local_mod_6_eligibility,1,10,3,1,4,"2 3 4 5","5 5 1 1 5",,,,,,
local_mod_6_eligibility,1,11,4,0,4,"1 2 5 6","1 5 1 1 5",,,,,,
extremal_nine_term_channel,1,,,,,,,1,4,"(1,4)","7 11 4 14 13 14 4 11 7",5,5
extremal_nine_term_channel,1,,,,,,,6,16,"(6,16)","11 1 8 4 2 4 8 1 11",10,10
extremal_nine_term_channel,1,,,,,,,11,4,"(1,4)","7 11 4 14 13 14 4 11 7",5,5
extremal_nine_term_channel,1,,,,,,,16,16,"(6,16)","11 1 8 4 2 4 8 1 11",10,10
extremal_nine_term_channel,1,,,,,,,21,4,"(1,4)","7 11 4 14 13 14 4 11 7",5,5
extremal_nine_term_channel,1,,,,,,,26,16,"(6,16)","11 1 8 4 2 4 8 1 11",10,10
