record_type,case,n,T,A,B,C,candidate_a,m,d,d_prev,reference_a,condition,expected,observed,status
canonical_map_checkpoint,0,0,895204858755057033238453,1,-895204858755057033238453,0,946152661442,0,1,,946152661442,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,0,1,895204858755057033238453,-1277159719089,1,946152661442,1,946152661442,1277159719089,1,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,0,2,895204858755057033238453,615145603796,-1277159719089,-331007057647,2,331007057647,615145603796,1277159719089,2,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,0,3,895204858755057033238453,-140605534493,615145603796,899284149945,13,899284149945,140605534493,615145603796,13,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,0,4999,895204858755057033238453,-609236486349,114036296428,908696751509,3,908696751509,609236486349,114036296428,3,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,1,0,1119957466377549817754449,1,-1119957466377549817754449,0,1058280428987,0,1,,1058280428987,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,1,1,1119957466377549817754449,-641067908280,1,1058280428987,3,1058280428987,641067908280,1,3,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,1,2,1119957466377549817754449,580071399403,-641067908280,-864923295853,3,864923295853,580071399403,641067908280,3,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,1,3,1119957466377549817754449,-609965088771,580071399403,875290902356,3,875290902356,609965088771,580071399403,3,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,1,4999,1119957466377549817754449,-352160061528,238889185935,1017757454387,5,1017757454387,352160061528,238889185935,5,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,2,0,1055891940277214105827513,1,-1055891940277214105827513,0,1027566027210,0,1,,1027566027210,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,2,1,1055891940277214105827513,-1071645443413,1,1027566027210,1,1027566027210,1071645443413,1,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,2,2,1055891940277214105827513,983486611008,-1071645443413,-44079416203,1,44079416203,983486611008,1071645443413,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,2,3,1055891940277214105827513,-176317664811,983486611008,939407194805,11,939407194805,176317664811,983486611008,11,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,2,4999,1055891940277214105827513,-316296395592,1705772986107,718583393263,5,718583393263,316296395592,1705772986107,5,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,3,0,791377714680498830726351,1,-791377714680498830726351,0,889594129185,0,1,,889594129185,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,3,1,791377714680498830726351,-80361962126,1,889594129185,22,889594129185,80361962126,1,22,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,3,2,791377714680498830726351,246952015157,-80361962126,-878369037587,7,878369037587,246952015157,80361962126,7,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,3,3,791377714680498830726351,-276879745651,246952015157,850295068512,6,850295068512,276879745651,246952015157,6,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,3,4999,791377714680498830726351,-507277817735,904291031690,576758990851,2,576758990851,507277817735,904291031690,2,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,4,0,751932430638254757708079,1,-751932430638254757708079,0,867140375393,0,1,,867140375393,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,4,1,751932430638254757708079,-1541797803630,1,867140375393,1,867140375393,1541797803630,1,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,4,2,751932430638254757708079,192482947157,-1541797803630,-674657428237,8,674657428237,192482947157,1541797803630,8,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,4,3,751932430638254757708079,-17408037374,192482947157,865206149019,99,865206149019,17408037374,192482947157,99,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,4,4999,751932430638254757708079,-882560275623,591571072546,479411411839,1,479411411839,882560275623,591571072546,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,5,0,733954298291541561414451,1,-733954298291541561414451,0,856711327280,0,1,,856711327280,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,5,1,733954298291541561414451,-1682289216051,1,856711327280,1,856711327280,1682289216051,1,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,5,2,733954298291541561414451,31133438510,-1682289216051,-825577888771,54,825577888771,31133438510,1682289216051,54,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,5,3,733954298291541561414451,-59594508159,31133438510,855627790769,28,855627790769,59594508159,31133438510,28,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,5,4999,733954298291541561414451,-619331910690,35654341413,843725326691,2,843725326691,619331910690,35654341413,2,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,6,0,780988847498344710217819,1,-780988847498344710217819,0,883735733971,0,1,,883735733971,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,6,1,780988847498344710217819,-1082626788978,1,883735733971,1,883735733971,1082626788978,1,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,6,2,780988847498344710217819,684844678965,-1082626788978,-198891055007,1,198891055007,684844678965,1082626788978,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,6,3,780988847498344710217819,-795564220027,684844678965,485953623958,1,485953623958,795564220027,684844678965,1,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,6,4999,780988847498344710217819,-360388164815,236493894630,834121841713,4,834121841713,360388164815,236493894630,4,exact indexed map and invariant,match,match,PASS
canonical_map_checkpoint,7,0,756262877771118855062539,1,-756262877771118855062539,0,869633760712,0,1,,869633760712,exact indexed map and invariant,match,match,PASS
