# R055 exhaustive exact analysis
SUMMARY	1	1	1	0	1	6	1	1	1	0	0.001014
GMIN	1	0000
PMIN	1	0000
LOCAL	1	0000	1	0
BASIN	1	T0_CANONICAL_MIN	0000	1
BASIN	1	T1_CANONICAL_MAX	0000	1
BASIN	1	T2_ORIENTATION_MOVE_LEX	0000	1
SUMMARY	2	1	1	1	1	10	1	1	1	0	0.000120
GMIN	2	00000001
PMIN	2	00000001
LOCAL	2	00000001	1	1
BASIN	2	T0_CANONICAL_MIN	00000001	1
BASIN	2	T1_CANONICAL_MAX	00000001	1
BASIN	2	T2_ORIENTATION_MOVE_LEX	00000001	1
SUMMARY	3	3	3	3	1	12	1	1	1	0	0.000076
GMIN	3	000000010100
PMIN	3	000000010100
LOCAL	3	000000010100	1	3
BASIN	3	T0_CANONICAL_MIN	000000010100	3
BASIN	3	T1_CANONICAL_MAX	000000010100	3
BASIN	3	T2_ORIENTATION_MOVE_LEX	000000010100	3
SUMMARY	4	7	7	8	1	14	1	1	1	0	0.000140
GMIN	4	0000000101000101
PMIN	4	0000000101000101
LOCAL	4	0000000101000101	1	8
BASIN	4	T0_CANONICAL_MIN	0000000101000101	7
BASIN	4	T1_CANONICAL_MAX	0000000101000101	7
BASIN	4	T2_ORIENTATION_MOVE_LEX	0000000101000101	7
SUMMARY	5	22	22	17	1	16	1	1	1	0	0.000576
GMIN	5	00000001000201000101
PMIN	5	00000001000201000101
LOCAL	5	00000001000201000101	1	17
BASIN	5	T0_CANONICAL_MIN	00000001000201000101	22
BASIN	5	T1_CANONICAL_MAX	00000001000201000101	22
BASIN	5	T2_ORIENTATION_MOVE_LEX	00000001000201000101	22
SUMMARY	6	82	81	29	1	18	3	1	3	2	0.002409
GMIN	6	000100020100010101020200
PMIN	6	000000010002010001010102
PMIN	6	000000010002010001010200
PMIN	6	000100020100010101020200
LOCAL	6	000000010002010001010102	0	33
LOCAL	6	000000010002010001010200	0	30
LOCAL	6	000100020100010101020200	1	29
BASIN	6	T0_CANONICAL_MIN	000000010002010001010102	29
BASIN	6	T0_CANONICAL_MIN	000000010002010001010200	21
BASIN	6	T0_CANONICAL_MIN	000100020100010101020200	31
BASIN	6	T1_CANONICAL_MAX	000000010002010001010102	26
BASIN	6	T1_CANONICAL_MAX	000000010002010001010200	33
BASIN	6	T1_CANONICAL_MAX	000100020100010101020200	22
